,isic_id,sample_probability
0,ISIC_0024310,3.036896422056531e-05
1,ISIC_0024313,0.00013082015309052796
2,ISIC_0024315,4.251655419374207e-05
3,ISIC_0024323,4.724061503907575e-05
4,ISIC_0024333,0.00014172184126161428
5,ISIC_0024351,0.0001417218066699063
6,ISIC_0024367,4.475426054578189e-05
7,ISIC_0024400,4.724061503907575e-05
8,ISIC_0024410,5.486006329622189e-05
9,ISIC_0024449,0.00010629138443355453
10,ISIC_0024459,0.000170066204413635
11,ISIC_0024481,2.5383012583870185e-05
12,ISIC_0024482,0.00012147586029545355
13,ISIC_0024496,0.000283443674022725
14,ISIC_0024516,0.0001700662118277201
15,ISIC_0024525,2.152736629836991e-05
16,ISIC_0024537,5.864351723480326e-05
17,ISIC_0024545,0.00021258278478980658
18,ISIC_0024546,0.00011337747672912484
19,ISIC_0024552,0.0002125827604072204
20,ISIC_0024554,7.394183216327213e-05
21,ISIC_0024571,5.314568714477396e-05
22,ISIC_0024586,7.730282372211482e-05
23,ISIC_0024624,0.0001700661988817976
24,ISIC_0024630,8.098390395559807e-05
25,ISIC_0024640,0.0008503310475020135
26,ISIC_0024644,0.00012147585208212888
27,ISIC_0024647,2.882478237799274e-05
28,ISIC_0024652,0.00042516549867168313
29,ISIC_0024675,0.00034013239846057995
30,ISIC_0024679,6.541008005453926e-05
31,ISIC_0024688,0.00015460563509303376
32,ISIC_0024700,6.802647960707453e-05
33,ISIC_0024701,0.00024295170198724748
34,ISIC_0024702,0.0005668871995345044
35,ISIC_0024729,6.298748311616112e-05
36,ISIC_0024732,0.0005668874573167447
37,ISIC_0024733,5.314568714477396e-05
38,ISIC_0024739,2.882478237799274e-05
39,ISIC_0024756,0.00042516549209458136
40,ISIC_0024767,9.448122007660754e-05
41,ISIC_0024792,4.394475194815339e-05
42,ISIC_0024805,0.00015460564466216552
43,ISIC_0024806,4.845190876183065e-05
44,ISIC_0024823,0.0005668872672736614
45,ISIC_0024853,0.00012147586608962353
46,ISIC_0024864,0.00024295170745424616
47,ISIC_0024865,4.8590337690903656e-05
48,ISIC_0024875,0.0003401324268710476
49,ISIC_0024886,9.448122007660754e-05
50,ISIC_0024898,0.0008503311254296868
51,ISIC_0024900,2.787970564157951e-05
52,ISIC_0024911,3.334631935035294e-05
53,ISIC_0024918,4.0491952464817915e-05
54,ISIC_0024929,0.0002834436416300667
55,ISIC_0024930,6.802648176545398e-05
56,ISIC_0024932,9.945392332059683e-05
57,ISIC_0024940,0.00021258275551704368
58,ISIC_0024951,7.394182800592824e-05
59,ISIC_0024952,8.503311461797395e-05
60,ISIC_0024958,0.0002429517434262915
61,ISIC_0024961,0.00028344367402272503
62,ISIC_0024962,0.00024295168756387266
63,ISIC_0024967,0.00028344366725372534
64,ISIC_0024972,0.0017006622783184526
65,ISIC_0024987,7.086093239143565e-05
66,ISIC_0024999,0.0008503312326232463
67,ISIC_0025018,0.00021258278596819868
68,ISIC_0025035,2.6994632873512053e-05
69,ISIC_0025081,4.859034197779183e-05
70,ISIC_0025085,0.00042516554852654106
71,ISIC_0025097,0.0005668874019645031
72,ISIC_0025105,0.00042516551103408747
73,ISIC_0025121,0.0017006622773384564
74,ISIC_0025127,0.00021258276783419703
75,ISIC_0025128,2.500973539647357e-05
76,ISIC_0025132,2.208652005371883e-05
77,ISIC_0025145,0.00024295172059090705
78,ISIC_0025153,0.0002834436633984017
79,ISIC_0025155,3.95502833463038e-05
80,ISIC_0025188,0.00010629138464476845
81,ISIC_0025195,0.0004251655659628391
82,ISIC_0025219,5.486006855550892e-05
83,ISIC_0025234,0.0017006620981962152
84,ISIC_0025235,0.000212582805993582
85,ISIC_0025238,4.049195448899079e-05
86,ISIC_0025248,6.298748538695418e-05
87,ISIC_0025265,2.099583148033051e-05
88,ISIC_0025268,0.0001308201424269468
89,ISIC_0025277,0.001700662312242902
90,ISIC_0025303,3.401323842618183e-05
91,ISIC_0025313,0.00034013243596045934
92,ISIC_0025316,0.00024295173833104958
93,ISIC_0025317,0.000850330839702148
94,ISIC_0025324,2.9321761807354293e-05
95,ISIC_0025363,9.448122007660754e-05
96,ISIC_0025391,8.950853146002269e-05
97,ISIC_0025394,0.000566887366065405
98,ISIC_0025409,3.334631935035294e-05
99,ISIC_0025413,0.0001889624648108479
100,ISIC_0025414,2.3952987088137512e-05
101,ISIC_0025439,0.00010003894096186219
102,ISIC_0025450,5.668873771604229e-05
103,ISIC_0025451,0.00042516551103408747
104,ISIC_0025472,7.730280152366352e-05
105,ISIC_0025489,0.00011337746960909
106,ISIC_0025500,0.00015460562472227455
107,ISIC_0025512,0.0008503312326232463
108,ISIC_0025520,0.00013082015356551208
109,ISIC_0025524,0.001700662679072428
110,ISIC_0025531,3.0921128075206356e-05
111,ISIC_0025543,2.9836181702802256e-05
112,ISIC_0025546,0.0001700662420609854
113,ISIC_0025550,0.00012147586029545355
114,ISIC_0025573,4.724061233712083e-05
115,ISIC_0025589,3.149374155808056e-05
116,ISIC_0025592,7.730282372211482e-05
117,ISIC_0025603,0.00012147586608962353
118,ISIC_0025611,7.730282327564805e-05
119,ISIC_0025616,4.1479562052106104e-05
120,ISIC_0025651,0.000425165575605836
121,ISIC_0025663,0.0002125827343449759
122,ISIC_0025674,5.668873771604229e-05
123,ISIC_0025708,0.0017006620441363499
124,ISIC_0025709,4.859034707166393e-05
125,ISIC_0025724,0.00011337744843528865
126,ISIC_0025732,0.00024295172059090708
127,ISIC_0025744,0.00028344371135406574
128,ISIC_0025748,3.270504196290943e-05
129,ISIC_0025751,8.098388751938789e-05
130,ISIC_0025755,8.950852863875526e-05
131,ISIC_0025766,5.668873771604229e-05
132,ISIC_0025783,8.950853146002269e-05
133,ISIC_0025791,9.448123156162525e-05
134,ISIC_0025800,3.6970914002964135e-05
135,ISIC_0025814,2.073978102605305e-05
136,ISIC_0025832,3.1493736405061575e-05
137,ISIC_0025835,3.697092182854126e-05
138,ISIC_0025891,7.086090367364809e-05
139,ISIC_0025904,7.730282356218435e-05
140,ISIC_0025927,0.0005668872601415878
141,ISIC_0025941,2.932176251550874e-05
142,ISIC_0025955,0.00013082015309052796
143,ISIC_0025963,0.0017006623706521363
144,ISIC_0025964,7.730282372211482e-05
145,ISIC_0025987,0.00018896244024254209
146,ISIC_0025996,0.00028344366782670044
147,ISIC_0026009,0.00021258276186015833
148,ISIC_0026045,0.00012147587913199544
149,ISIC_0026081,0.0004251654844053577
150,ISIC_0026086,2.362030362692563e-05
151,ISIC_0026089,0.0002834436537516184
152,ISIC_0026094,3.092113012825537e-05
153,ISIC_0026105,4.049195448899079e-05
154,ISIC_0026113,0.0001889624493484833
155,ISIC_0026115,0.00011337747672912484
156,ISIC_0026120,0.00024295174812633547
157,ISIC_0026131,6.29874893666963e-05
158,ISIC_0026150,2.099583148033051e-05
159,ISIC_0026158,0.0008503311043815683
160,ISIC_0026167,0.0001546056489709167
161,ISIC_0026188,7.394183216327213e-05
162,ISIC_0026207,0.0008503311875830029
163,ISIC_0026229,0.00028344366128137626
164,ISIC_0026236,4.7240613746701846e-05
165,ISIC_0026239,0.001700661931672953
166,ISIC_0026247,2.0995826939266274e-05
167,ISIC_0026258,7.086090896669504e-05
168,ISIC_0026266,0.0003401324268710476
169,ISIC_0026268,9.448120911748568e-05
170,ISIC_0026281,5.668873480454501e-05
171,ISIC_0026296,2.2675489049633213e-05
172,ISIC_0026314,0.00034013239846057995
173,ISIC_0026352,0.00024295171218944225
174,ISIC_0026360,7.086091850568126e-05
175,ISIC_0026369,0.000566887372759067
176,ISIC_0026420,0.0005668874095880731
177,ISIC_0026430,4.251655616199363e-05
178,ISIC_0026438,0.0002125828117487423
179,ISIC_0026458,0.00012147586029545355
180,ISIC_0026475,0.0001062913661165534
181,ISIC_0026489,0.0008503311347030503
182,ISIC_0026500,0.00021258276783419703
183,ISIC_0026506,0.001700661986634541
184,ISIC_0026516,4.7240613746701846e-05
185,ISIC_0026531,0.00024295178478625422
186,ISIC_0026545,0.0005668873836292219
187,ISIC_0026558,8.21575888921223e-05
188,ISIC_0026571,0.0001889624278568785
189,ISIC_0026586,0.0002429517302948939
190,ISIC_0026596,6.0737933399896774e-05
191,ISIC_0026604,0.00015460564466216552
192,ISIC_0026622,7.394183180075855e-05
193,ISIC_0026647,7.394182800592826e-05
194,ISIC_0026652,7.394183216327213e-05
195,ISIC_0026664,0.0004251654958315869
196,ISIC_0026690,0.00028344367402272503
197,ISIC_0026694,0.0001417218343840091
198,ISIC_0026697,2.6572843575280873e-05
199,ISIC_0026735,0.00021258275551704373
200,ISIC_0026738,4.5963836964547493e-05
