isic_id,hair_density,high_hair_density
ISIC_0034524,0.000175,0
ISIC_0034525,0.000125,0
ISIC_0034527,0.0150583333333333,0
ISIC_0034528,0.0004388888888888,0
ISIC_0034529,0.0211583333333333,0
ISIC_0034530,0.0348805555555555,1
ISIC_0034532,0.0016138888888888,0
ISIC_0034533,0.1630222222222222,1
ISIC_0034534,0.0002222222222222,0
ISIC_0034537,0.0024222222222222,0
ISIC_0034540,0.0027194444444444,0
ISIC_0034541,0.0011388888888888,0
ISIC_0034543,0.0003277777777777,0
ISIC_0034544,0.0001083333333333,0
ISIC_0034548,0.0495666666666666,0
ISIC_0034551,0.0095527777777777,0
ISIC_0034552,0.0037055555555555,0
ISIC_0034553,0.0581527777777777,1
ISIC_0034556,0.0,0
ISIC_0034557,3.0555555555555554e-05,0
ISIC_0034558,0.0053388888888888,0
ISIC_0034559,0.0019888888888888,0
ISIC_0034560,1.9444444444444445e-05,0
ISIC_0034562,0.0002555555555555,0
ISIC_0034563,0.0003722222222222,0
ISIC_0034564,0.0002888888888888,0
ISIC_0034566,2.777777777777778e-06,0
ISIC_0034567,0.0004361111111111,0
ISIC_0034568,0.0006333333333333,0
ISIC_0034569,0.0023583333333333,0
ISIC_0034572,0.0035833333333333,0
ISIC_0034573,0.0158722222222222,0
ISIC_0034576,0.0002777777777777,0
ISIC_0034577,7.777777777777778e-05,0
ISIC_0034580,0.0061666666666666,0
ISIC_0034581,0.0076333333333333,0
ISIC_0034582,0.0007194444444444,0
ISIC_0034583,0.0008138888888888,0
ISIC_0034584,0.0012555555555555,0
ISIC_0034586,0.0223055555555555,0
ISIC_0034587,8.61111111111111e-05,0
ISIC_0034589,0.0031916666666666,0
ISIC_0034590,0.00255,0
ISIC_0034592,0.0002222222222222,0
ISIC_0034593,0.0008472222222222,0
ISIC_0034594,0.0007833333333333,0
ISIC_0034595,0.0135722222222222,0
ISIC_0034599,0.0047916666666666,0
ISIC_0034600,0.0874194444444444,1
ISIC_0034601,0.0002222222222222,0
ISIC_0034602,0.0004805555555555,0
ISIC_0034603,0.001525,0
ISIC_0034604,0.0172861111111111,0
ISIC_0034605,0.0023916666666666,0
ISIC_0034607,0.0001416666666666,0
ISIC_0034609,0.0006,0
ISIC_0034610,3.3333333333333335e-05,0
ISIC_0034611,0.0005472222222222,0
ISIC_0034613,0.0013333333333333,0
ISIC_0034616,0.0003944444444444,0
ISIC_0034617,0.0011666666666666,0
ISIC_0034619,0.0002333333333333,0
ISIC_0034620,0.0094,0
ISIC_0034621,0.0045194444444444,0
ISIC_0034623,0.0338722222222222,1
ISIC_0034624,0.0010833333333333,0
ISIC_0034625,0.0007305555555555,0
ISIC_0034626,0.0634694444444444,1
ISIC_0034627,0.0155527777777777,0
ISIC_0034628,0.0098861111111111,0
ISIC_0034629,0.003775,0
ISIC_0034630,0.0011138888888888,0
ISIC_0034632,0.0016694444444444,0
ISIC_0034633,0.0148361111111111,0
ISIC_0034634,0.0161166666666666,0
ISIC_0034635,0.0265333333333333,1
ISIC_0034636,0.0001138888888888,0
ISIC_0034637,8.333333333333334e-06,0
ISIC_0034638,0.0272166666666666,0
ISIC_0034639,0.0007555555555555,0
ISIC_0034640,0.0016694444444444,0
ISIC_0034641,0.0007166666666666,0
ISIC_0034643,0.0034,0
ISIC_0034644,0.0121694444444444,0
ISIC_0034645,0.0002833333333333,0
ISIC_0034648,0.0007194444444444,0
ISIC_0034649,0.0009444444444444,0
ISIC_0034650,0.0095361111111111,0
ISIC_0034653,0.0139972222222222,0
ISIC_0034654,0.0005555555555555,0
ISIC_0034655,0.0426944444444444,0
ISIC_0034657,0.0072305555555555,0
ISIC_0034658,0.0022388888888888,0
ISIC_0034659,0.0071888888888888,0
ISIC_0034660,0.0007,0
ISIC_0034661,0.0040694444444444,0
ISIC_0034662,0.001925,0
ISIC_0034664,0.0168111111111111,0
ISIC_0034665,0.0001527777777777,0
ISIC_0034667,0.0010194444444444,0
ISIC_0034668,2.2222222222222223e-05,0
ISIC_0034670,0.000575,0
ISIC_0034671,0.0002722222222222,0
ISIC_0034672,0.003,0
ISIC_0034674,0.0075722222222222,0
